NAPS ID	Province	City	Year	Year_lag	Latitude	Longitude	Elevation	Pollutant	variable	value	Year_beeyear_lag	seasons	mean_spring	mean_summer	mean_fall	mean_winter	test	mean_value
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	CO	January	0.18	2014	Winter	NA	NA	NA	0.125	2014_NT_CO	0.125
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	NO	January	3	2014	Winter	NA	NA	NA	2	2014_NT_NO	2
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	NO2	January	5	2014	Winter	NA	NA	NA	4.333333333333333	2014_NT_NO2	4.333333333333333
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	NOX	January	7	2014	Winter	NA	NA	NA	6	2014_NT_NOX	6
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	O3	January	28	2014	Winter	NA	NA	NA	27.5	2014_NT_O3	27.5
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	PM10	January	5	2014	Winter	NA	NA	NA	6.666666666666667	2014_NT_PM10	6.666666666666667
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	PM2.5	January	4	2014	Winter	NA	NA	NA	4	2014_NT_PM2.5	4
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	SO2	January	0	2014	Winter	NA	NA	NA	0.26666666666666666	2014_NT_SO2	0.26666666666666666
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	NO	January	5	2014	Winter	NA	NA	NA	5	2014_NU_NO	5
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	NO2	January	7	2014	Winter	NA	NA	NA	7	2014_NU_NO2	7
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	NOX	January	12	2014	Winter	NA	NA	NA	12	2014_NU_NOX	12
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	O3	January	NA	2014	Winter	NA	NA	NA	NA	2014_NU_O3	NA
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	PM2.5	January	7	2014	Winter	NA	NA	NA	8.5	2014_NU_PM2.5	8.5
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	CO	January	0.24	2014	Winter	NA	NA	NA	0.29125	2014_ON_CO	0.29125
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	NO	January	3	2014	Winter	NA	NA	NA	5.078947368421052	2014_ON_NO	5.078947368421052
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	NO2	January	13	2014	Winter	NA	NA	NA	12.592105263157896	2014_ON_NO2	12.592105263157896
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	NOX	January	16	2014	Winter	NA	NA	NA	17.57894736842105	2014_ON_NOX	17.57894736842105
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	O3	January	22	2014	Winter	NA	NA	NA	27.75	2014_ON_O3	27.75
060610	ON	Sudbury	2014	2015	46.491939544677734	-81.00311279	271	PM10	January	12	2014	Winter	NA	NA	NA	12	2014_ON_PM10	12
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	PM2.5	January	9	2014	Winter	NA	NA	NA	10.024390243902438	2014_ON_PM2.5	10.024390243902438
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	SO2	January	0.3	2014	Winter	NA	NA	NA	2.7423076923076923	2014_ON_SO2	2.7423076923076923
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	NO	January	0	2014	Winter	NA	NA	NA	0.16666666666666666	2014_PE_NO	0.16666666666666666
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	NO2	January	3	2014	Winter	NA	NA	NA	1.8333333333333333	2014_PE_NO2	1.8333333333333333
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	NOX	January	3	2014	Winter	NA	NA	NA	2	2014_PE_NOX	2
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	O3	January	32	2014	Winter	NA	NA	NA	33.666666666666664	2014_PE_O3	33.666666666666664
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	PM2.5	January	7	2014	Winter	NA	NA	NA	6	2014_PE_PM2.5	6
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	SO2	January	1.5	2014	Winter	NA	NA	NA	1.65	2014_PE_SO2	1.65
093501	Pine Lake	Pine Lake	2014	2015	52.124900817871094	-113.4921036	884	O3	January	NA	2014	Winter	NA	NA	NA	NA	2014_Pine Lake_O3	NA
093501	Pine Lake	Pine Lake	2014	2015	52.124900817871094	-113.4921036	884	SO2	January	NA	2014	Winter	NA	NA	NA	2.7	2014_Pine Lake_SO2	2.7
050109	QC	Montréal	2014	2015	45.502647399902344	-73.66390991	41	CO	January	0.35	2014	Winter	NA	NA	NA	0.281	2014_QC_CO	0.281
050103	QC	Montréal	2014	2015	45.64102554321289	-73.49967957	19	NO	January	4	2014	Winter	NA	NA	NA	5.742857142857143	2014_QC_NO	5.742857142857143
050103	QC	Montréal	2014	2015	45.64102554321289	-73.49967957	19	NO2	January	13	2014	Winter	NA	NA	NA	12.857142857142858	2014_QC_NO2	12.857142857142858
041101	QC	St. Leonard	2014	2015	47.15762710571289	-67.83101654	239	O3	January	29	2014	Winter	NA	NA	NA	29	2014_QC_O3	29
050103	QC	Montréal	2014	2015	45.64102554321289	-73.49967957	19	PM2.5	January	11	2014	Winter	NA	NA	NA	9.4375	2014_QC_PM2.5	9.4375
050103	QC	Montréal	2014	2015	45.64102554321289	-73.49967957	19	SO2	January	2.9	2014	Winter	NA	NA	NA	1.6272727272727272	2014_QC_SO2	1.6272727272727272
080111	SK	Regina	2014	2015	50.452701568603516	-104.6159973	585	CO	January	0.25	2014	Winter	NA	NA	NA	0.26	2014_SK_CO	0.26
080111	SK	Regina	2014	2015	50.452701568603516	-104.6159973	585	NO	January	8	2014	Winter	NA	NA	NA	9.125	2014_SK_NO	9.125
080111	SK	Regina	2014	2015	50.452701568603516	-104.6159973	585	NO2	January	12	2014	Winter	NA	NA	NA	13.125	2014_SK_NO2	13.125
080111	SK	Regina	2014	2015	50.452701568603516	-104.6159973	585	NOX	January	19	2014	Winter	NA	NA	NA	22.125	2014_SK_NOX	22.125
080111	SK	Regina	2014	2015	50.452701568603516	-104.6159973	585	O3	January	24	2014	Winter	NA	NA	NA	24.625	2014_SK_O3	24.625
080111	SK	Regina	2014	2015	50.452701568603516	-104.6159973	585	PM10	January	9	2014	Winter	NA	NA	NA	11	2014_SK_PM10	11
080111	SK	Regina	2014	2015	50.452701568603516	-104.6159973	585	PM2.5	January	5	2014	Winter	NA	NA	NA	4.375	2014_SK_PM2.5	4.375
080111	SK	Regina	2014	2015	50.452701568603516	-104.6159973	585	SO2	January	0.3	2014	Winter	NA	NA	NA	0.2875	2014_SK_SO2	0.2875
031001	Sable Island	Sable Island	2014	2015	43.93229675292969	-60.00928879	8	PM2.5	January	13	2014	Winter	NA	NA	NA	13.5	2014_Sable Island_PM2.5	13.5
090901	Vegreville	Vegreville	2014	2015	53.575279235839844	-112.1938934	656	PM2.5	January	14	2014	Winter	NA	NA	NA	13.5	2014_Vegreville_PM2.5	13.5
119004	YU	Whitehorse	2014	2015	60.71971893310547	-135.0587463	640	CO	January	0.36	2014	Winter	NA	NA	NA	0.37	2014_YU_CO	0.37
119004	YU	Whitehorse	2014	2015	60.71971893310547	-135.0587463	640	NO	January	8	2014	Winter	NA	NA	NA	7.5	2014_YU_NO	7.5
119004	YU	Whitehorse	2014	2015	60.71971893310547	-135.0587463	640	NO2	January	8	2014	Winter	NA	NA	NA	10	2014_YU_NO2	10
119004	YU	Whitehorse	2014	2015	60.71971893310547	-135.0587463	640	NOX	January	16	2014	Winter	NA	NA	NA	17	2014_YU_NOX	17
119004	YU	Whitehorse	2014	2015	60.71971893310547	-135.0587463	640	O3	January	20	2014	Winter	NA	NA	NA	20.5	2014_YU_O3	20.5
119004	YU	Whitehorse	2014	2015	60.71971893310547	-135.0587463	640	PM2.5	January	7	2014	Winter	NA	NA	NA	9.5	2014_YU_PM2.5	9.5
090120	AB	Edmonton	2015	2016	53.500221252441406	-113.5260544	681	CO	January	0.22	2015	Winter	0.1988235294117647	0.15914285714285714	0.15114285714285713	0.23289473684210527	2015_AB_CO	0.18640845070422535
090120	AB	Edmonton	2015	2016	53.500221252441406	-113.5260544	681	NO	January	7	2015	Winter	2.3703703703703702	1.6090909090909091	3.926605504587156	7.024793388429752	2015_AB_NO	3.8191964285714284
090120	AB	Edmonton	2015	2016	53.500221252441406	-113.5260544	681	NO2	January	17	2015	Winter	5.935185185185185	3.709090909090909	6.587155963302752	11.544715447154472	2015_AB_NO2	7.082222222222223
090228	AB	Calgary	2015	2016	51.04700851	-114.0756378	1050	NOX	January	41	2015	Winter	8.407407407407407	5.327272727272727	10.477064220183486	22.333333333333332	2015_AB_NOX	9.787634409
090120	AB	Edmonton	2015	2016	53.500221252441406	-113.5260544	681	O3	January	16	2015	Winter	32.98019801980198	26.392156862745097	19.372549019607842	20.89622641509434	2015_AB_O3	24.851581508515814
090120	AB	Edmonton	2014	2015	53.500221252441406	-113.5260544	681	PM10	March	13	2015	Spring	15.333333333333334	17.833333333333332	16	9.5	2015_AB_PM10	15.7
090120	AB	Edmonton	2015	2016	53.500221252441406	-113.5260544	681	PM2.5	January	10	2015	Winter	5.4766355140186915	10.695238095238095	5.735849056603773	6.899082569	2015_AB_PM2.5	7.187353629976581
090120	AB	Edmonton	2015	2016	53.500221252441406	-113.5260544	681	SO2	January	0.5	2015	Winter	0.8833333333333333	0.692436975	0.6299145299145299	0.9392592592592592	2015_AB_SO2	0.7920570264765784
100110	BC	Metro Van - Burnaby	2015	2016	49.279212951660156	-122.9707108	104	CO	January	0.26	2015	Winter	0.18461538461538463	0.1603225806451613	0.2196774193548387	0.2577777777777778	2015_BC_CO	0.20555555555555555
100103	BC	Metro Van - New Westminster	2015	2016	49.22704315185547	-122.8944855	45	NO	January	NA	2015	Winter	2.8461538461538463	3.1652173913043478	6.773913043478261	10.71304347826087	2015_BC_NO	5.861471861471862
100103	BC	Metro Van - New Westminster	2015	2016	49.22704315185547	-122.8944855	45	NO2	January	NA	2015	Winter	7.577586206896552	6.902654867256637	8.807017543859649	10.658119658119658	2015_BC_NO2	8.5
100103	BC	Metro Van - New Westminster	2015	2016	49.22704315185547	-122.8944855	45	NOX	January	NA	2015	Winter	12.257575757575758	12.546875	18.692307692307693	26.26153846153846	2015_BC_NOX	17.43846153846154
100110	BC	Metro Van - Burnaby	2015	2016	49.279212951660156	-122.9707108	104	O3	January	7	2015	Winter	26.116666666666667	20.21551724137931	15.403508771929825	12.561983471074381	2015_BC_O3	18.588110403397028
100110	BC	Metro Van - Burnaby	2015	2016	49.279212951660156	-122.9707108	104	PM10	January	7	2015	Winter	13.625	15	12.484848484848484	10.794117647058824	2015_BC_PM10	13.014134275618375
